2022/05/19 09:16:11 | Dstore.ControllerConnection | Dstore1235:14 | Message reveived: LIST
2022/05/19 09:16:11 | Dstore.ControllerConnection | Dstore1234:14 | Sending message: LIST 
2022/05/19 09:16:11 | Dstore.ControllerConnection | Dstore1236:14 | Message reveived: LIST
2022/05/19 09:16:11 | Controller.DstoreCon | Dstore1234:16 | Message reveived: LIST 
2022/05/19 09:16:11 | Dstore.ControllerConnection | Dstore1235:14 | Sending message: LIST 
2022/05/19 09:16:12 | Controller.DstoreCon | Dstore1235:19 | Message reveived: LIST 
2022/05/19 09:16:12 | Dstore.ControllerConnection | Dstore1236:14 | Sending message: LIST 
2022/05/19 09:16:12 | Controller.DstoreCon | Dstore1236:22 | Message reveived: LIST 
2022/05/19 09:16:12 | Controller | Rebalance:32 | Rebalance successful
2022/05/19 09:16:22 | Controller | Rebalance:36 | Rebalancing
2022/05/19 09:16:22 | Controller.DstoreCon | Rebalance:36 | Sending message: LIST
2022/05/19 09:16:22 | Controller.DstoreCon | Rebalance:36 | Sending message: LIST
2022/05/19 09:16:22 | Dstore.ControllerConnection | Dstore1234:14 | Message reveived: LIST
2022/05/19 09:16:22 | Dstore.ControllerConnection | Dstore1235:14 | Message reveived: LIST
2022/05/19 09:16:22 | Dstore.ControllerConnection | Dstore1234:14 | Sending message: LIST 
2022/05/19 09:16:22 | Controller.DstoreCon | Rebalance:36 | Sending message: LIST
2022/05/19 09:16:22 | Controller.DstoreCon | Dstore1234:16 | Message reveived: LIST 
2022/05/19 09:16:22 | Dstore.ControllerConnection | Dstore1235:14 | Sending message: LIST 
2022/05/19 09:16:22 | Dstore.ControllerConnection | Dstore1236:14 | Message reveived: LIST
2022/05/19 09:16:22 | Dstore.ControllerConnection | Dstore1236:14 | Sending message: LIST 
2022/05/19 09:16:22 | Controller.DstoreCon | Dstore1235:19 | Message reveived: LIST 
2022/05/19 09:16:22 | Controller.DstoreCon | Dstore1236:22 | Message reveived: LIST 
2022/05/19 09:16:22 | Controller | Rebalance:36 | Rebalance successful
2022/05/19 09:16:32 | Controller | Rebalance:37 | Rebalancing
2022/05/19 09:16:32 | Controller.DstoreCon | Rebalance:37 | Sending message: LIST
2022/05/19 09:16:32 | Controller.DstoreCon | Rebalance:37 | Sending message: LIST
2022/05/19 09:16:32 | Dstore.ControllerConnection | Dstore1234:14 | Message reveived: LIST
2022/05/19 09:16:32 | Controller.DstoreCon | Rebalance:37 | Sending message: LIST
2022/05/19 09:16:32 | Dstore.ControllerConnection | Dstore1234:14 | Sending message: LIST 
2022/05/19 09:16:32 | Dstore.ControllerConnection | Dstore1235:14 | Message reveived: LIST
2022/05/19 09:16:32 | Controller.DstoreCon | Dstore1234:16 | Message reveived: LIST 
2022/05/19 09:16:32 | Dstore.ControllerConnection | Dstore1235:14 | Sending message: LIST 
2022/05/19 09:16:32 | Dstore.ControllerConnection | Dstore1236:14 | Message reveived: LIST
2022/05/19 09:16:32 | Dstore.ControllerConnection | Dstore1236:14 | Sending message: LIST 
2022/05/19 09:16:32 | Controller.DstoreCon | Dstore1235:19 | Message reveived: LIST 
2022/05/19 09:16:32 | Controller.DstoreCon | Dstore1236:22 | Message reveived: LIST 
2022/05/19 09:16:32 | Controller | Rebalance:37 | Rebalance successful
2022/05/19 09:16:42 | Controller | Rebalance:38 | Rebalancing
2022/05/19 09:16:42 | Controller.DstoreCon | Rebalance:38 | Sending message: LIST
2022/05/19 09:16:42 | Controller.DstoreCon | Rebalance:38 | Sending message: LIST
2022/05/19 09:16:42 | Dstore.ControllerConnection | Dstore1234:14 | Message reveived: LIST
2022/05/19 09:16:42 | Dstore.ControllerConnection | Dstore1235:14 | Message reveived: LIST
2022/05/19 09:16:42 | Controller.DstoreCon | Rebalance:38 | Sending message: LIST
2022/05/19 09:16:42 | Dstore.ControllerConnection | Dstore1234:14 | Sending message: LIST 
2022/05/19 09:16:42 | Controller.DstoreCon | Dstore1234:16 | Message reveived: LIST 
2022/05/19 09:16:42 | Dstore.ControllerConnection | Dstore1235:14 | Sending message: LIST 
2022/05/19 09:16:42 | Dstore.ControllerConnection | Dstore1236:14 | Message reveived: LIST
2022/05/19 09:16:42 | Controller.DstoreCon | Dstore1235:19 | Message reveived: LIST 
2022/05/19 09:16:42 | Dstore.ControllerConnection | Dstore1236:14 | Sending message: LIST 
2022/05/19 09:16:42 | Controller.DstoreCon | Dstore1236:22 | Message reveived: LIST 
2022/05/19 09:16:42 | Controller | Rebalance:38 | Rebalance successful
2022/05/19 09:16:52 | Controller | Rebalance:39 | Rebalancing
2022/05/19 09:16:52 | Controller.DstoreCon | Rebalance:39 | Sending message: LIST
2022/05/19 09:16:52 | Controller.DstoreCon | Rebalance:39 | Sending message: LIST
2022/05/19 09:16:52 | Dstore.ControllerConnection | Dstore1234:14 | Message reveived: LIST
2022/05/19 09:16:52 | Dstore.ControllerConnection | Dstore1235:14 | Message reveived: LIST
2022/05/19 09:16:52 | Dstore.ControllerConnection | Dstore1234:14 | Sending message: LIST 
2022/05/19 09:16:52 | Controller.DstoreCon | Rebalance:39 | Sending message: LIST
2022/05/19 09:16:52 | Controller.DstoreCon | Dstore1234:16 | Message reveived: LIST 
2022/05/19 09:16:52 | Dstore.ControllerConnection | Dstore1235:14 | Sending message: LIST 
2022/05/19 09:16:52 | Dstore.ControllerConnection | Dstore1236:14 | Message reveived: LIST
